drive,engine,exterior,fuel,interior,location,make,mileage,model,modification,mpg,name,price,transmission,url,vin,year
,,Silver,,Black,"Madison, WI",Nissan,"113,526",Sentra,SE-R,,2004 Nissan Sentra,"$3,999",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB51D54L733704/2004-nissan-sentra/,3N1AB51D54L733704,2004
,,Sonoran Sand,,Charcoal,"Mt Pleasant, WI",Nissan,"162,029",Versa,1.8 S,,2009 Nissan Versa,"$2,890",,https://www.truecar.com/used-cars-for-sale/listing/3N1BC11E09L439492/2009-nissan-versa/,3N1BC11E09L439492,2009
,,Gray,,Black,"Milwaukee, WI",Nissan,"68,506",Maxima,GLE,,2000 Nissan Maxima,"$3,341",,https://www.truecar.com/used-cars-for-sale/listing/JN1CA31D3YT505752/2000-nissan-maxima/,JN1CA31D3YT505752,2000
,,Ruby Pearl,,Oak,"Waukesha, WI",Toyota,"182,302",Camry,LE,,1997 Toyota Camry,"$2,888",,https://www.truecar.com/used-cars-for-sale/listing/4T1BG22K4VU163275/1997-toyota-camry/,4T1BG22K4VU163275,1997
,,Cream,,Tan,"Cambridge, WI",Lexus,"260,021",ES,ES 350,,1999 Lexus ES,"$1,900",,https://www.truecar.com/used-cars-for-sale/listing/JT8BF28G4X0204166/1999-lexus-es/,JT8BF28G4X0204166,1999
,,Storm,,Beige W/Cloth Seat Trim,"JANESVILLE, WI",Nissan,"68,169",Altima,2.5 SV,,2015 Nissan Altima,"$12,500",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP0FC432707/2015-nissan-altima/,1N4AL3AP0FC432707,2015
,,Saharan Stone,,Beige W/Cloth Seat Trim,"JANESVILLE, WI",Nissan,"55,918",Altima,2.5 S,,2015 Nissan Altima,"$13,800",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL3AP9FN303238/2015-nissan-altima/,1N4AL3AP9FN303238,2015
,,Gray,,Black,"MADISON, WI",Mazda,"29,116",CX-9,Touring,,2013 Mazda CX-9,"$21,577",,https://www.truecar.com/used-cars-for-sale/listing/JM3TB3CVXD0420796/2013-mazda-cx-9/,JM3TB3CVXD0420796,2013
,,Black,,Sand/Parchment,"MADISON, WI",Mazda,"22,601",CX-5,Touring,,2016 Mazda CX-5,"$21,997",,https://www.truecar.com/used-cars-for-sale/listing/JM3KE4CY9G0654998/2016-mazda-cx-5/,JM3KE4CY9G0654998,2016
,,Crystal Black Pearl,,Ebony W/Perforated Milano Premium Leather Seat Tri,"West Allis, WI",Acura,"77,897",TL,with Technology Package,,2013 Acura TL,"$16,500",,https://www.truecar.com/used-cars-for-sale/listing/19UUA8F57DA009506/2013-acura-tl/,19UUA8F57DA009506,2013
,,Crystal Black Pearl,,,"Waukesha, WI",Acura,"75,007",TL,Base,,2013 Acura TL,"$16,786",,https://www.truecar.com/used-cars-for-sale/listing/19UUA8F23DA012456/2013-acura-tl/,19UUA8F23DA012456,2013
,,Modern Steel Metallic,,,"Waukesha, WI",Acura,"30,484",ILX,5-Speed Automatic,,2015 Acura ILX,"$16,888",,https://www.truecar.com/used-cars-for-sale/listing/19VDE1F3XFE003247/2015-acura-ilx/,19VDE1F3XFE003247,2015
,,,,,"Brookfield, WI",Honda,"192,018",Accord,EX,,2004 Honda Accord,"$4,995",,https://www.truecar.com/used-cars-for-sale/listing/1HGCM56604A003105/2004-honda-accord/,1HGCM56604A003105,2004
,,Alabaster Silver Metallic - Gray,,Black Leather,"Milwaukee, WI",Honda,"167,861",Accord,EX-L,,2008 Honda Accord,"$5,321",,https://www.truecar.com/used-cars-for-sale/listing/1HGCS12858A010191/2008-honda-accord/,1HGCS12858A010191,2008
,,Brillant Black Clearcoat,,,"Brookfield, WI",Mazda,"115,170",CX-7,i Sport,,2010 Mazda CX-7,"$7,995",,https://www.truecar.com/used-cars-for-sale/listing/JM3ER2W50A0343717/2010-mazda-cx-7/,JM3ER2W50A0343717,2010
,,Graphite Mica,,Black,"Milwaukee, WI",Mazda,"96,752",Mazda3,I Touring,,2013 Mazda Mazda3,"$8,444",,https://www.truecar.com/used-cars-for-sale/listing/JM1BL1L77D1719521/2013-mazda-mazda3/,JM1BL1L77D1719521,2013
,,Gunmetal Blue Mica,,Black,"Milwaukee, WI",Mazda,"63,858",Mazda3,Grand Touring,,2011 Mazda Mazda3,"$8,690",,https://www.truecar.com/used-cars-for-sale/listing/JM1BL1UF7B1364935/2011-mazda-mazda3/,JM1BL1UF7B1364935,2011
,,Black,,Gray,"Madison, WI",Honda,"80,628",Civic,LX,,2013 Honda Civic,"$8,995",,https://www.truecar.com/used-cars-for-sale/listing/2HGFG3B55DH514431/2013-honda-civic/,2HGFG3B55DH514431,2013
,,,,,"Belleville, WI",Honda,"85,762",Civic,LX,,2013 Honda Civic,"$9,447",,https://www.truecar.com/used-cars-for-sale/listing/2HGFB2F5XDH301543/2013-honda-civic/,2HGFB2F5XDH301543,2013
,,Alabaster Silver Metallic,,Black,"MADISON, WI",Honda,"93,970",Accord,EX-L,,2009 Honda Accord,"$9,477",,https://www.truecar.com/used-cars-for-sale/listing/1HGCP36899A027407/2009-honda-accord/,1HGCP36899A027407,2009
,,Blue,,Tan,"Cambridge, WI",Toyota,"202,141",Camry,LE,,1998 Toyota Camry,"$1,850",,https://www.truecar.com/used-cars-for-sale/listing/4T1BG22K4WU375191/1998-toyota-camry/,4T1BG22K4WU375191,1998
,,Silver,,Dark Gray,"MADISON, WI",Toyota,"227,327",Matrix,5dr Wagon XR Auto,,2005 Toyota Matrix,"$2,400",,https://www.truecar.com/used-cars-for-sale/listing/2T1KR32E95C367663/2005-toyota-matrix/,2T1KR32E95C367663,2005
,,Silver,,Gray,"Madison, WI",Nissan,"143,956",Sentra,2.0,,2008 Nissan Sentra,"$4,999",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB61EX8L661080/2008-nissan-sentra/,3N1AB61EX8L661080,2008
,,Fresh Powder,,Charcoal,"Madison, WI",Nissan,"95,338",Versa,SV,,2012 Nissan Versa,"$5,995",,https://www.truecar.com/used-cars-for-sale/listing/3N1CN7AP8CL895380/2012-nissan-versa/,3N1CN7AP8CL895380,2012
,,Dark Slate Metallic,,Charcoal,"Madison, WI",Nissan,"99,703",Altima,2.5 S,,2008 Nissan Altima,"$6,295",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL21EX8C215001/2008-nissan-altima/,1N4AL21EX8C215001,2008
,,Blue,,,"Franklin, WI",Nissan,"125,000",Altima,2.5 S,,2003 Nissan Altima,"$3,895",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL11D53C261958/2003-nissan-altima/,1N4AL11D53C261958,2003
,,Black,,Graphite,"Milwaukee, WI",Nissan,"197,324",Pathfinder,S,,2009 Nissan Pathfinder,"$4,999",,https://www.truecar.com/used-cars-for-sale/listing/5N1AR18B39C600993/2009-nissan-pathfinder/,5N1AR18B39C600993,2009
,,Super Black - Black,,Charcoal Leather,"Milwaukee, WI",Nissan,"145,964",Altima,2.5 S,,2009 Nissan Altima,"$5,493",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL24E19C194648/2009-nissan-altima/,1N4AL24E19C194648,2009
,,Vintage Red Pearl,,Oak,"Wauwatosa, WI",Toyota,"144,606",Camry,LE,,2000 Toyota Camry,"$3,781",,https://www.truecar.com/used-cars-for-sale/listing/4T1BG22K1YU757987/2000-toyota-camry/,4T1BG22K1YU757987,2000
,,Tan,,Fb40,"West Allis, WI",Toyota,"130,214",Camry,LE,,1998 Toyota Camry,"$3,995",,https://www.truecar.com/used-cars-for-sale/listing/4T1BG22K1WU251654/1998-toyota-camry/,4T1BG22K1WU251654,1998
,,Deep Crystal Blue Mica,,Black,"Madison, WI",Mazda,"3,839",CX-3,Grand Touring,,2017 Mazda CX-3,"$23,198",,https://www.truecar.com/used-cars-for-sale/listing/JM1DKFD71H0156260/2017-mazda-cx-3/,JM1DKFD71H0156260,2017
,,Crystal Black Pearl,,Ebony W/Perforated Milano Premium Leather Seating,"West Allis, WI",Acura,"109,106",MDX,AWD 4dr Advance/Entertainment Pkg,,2010 Acura MDX,"$16,995",,https://www.truecar.com/used-cars-for-sale/listing/2HNYD2H70AH502700/2010-acura-mdx/,2HNYD2H70AH502700,2010
,,,,,"Milwaukee, WI",Acura,"47,614",TL,with Technology Package,,2013 Acura TL,"$17,333",,https://www.truecar.com/used-cars-for-sale/listing/19UUA8F53DA007025/2013-acura-tl/,19UUA8F53DA007025,2013
,,Midnight Blue Pearl,,,"Waukesha, WI",Honda,"243,629",Odyssey,EX,,2006 Honda Odyssey,"$5,786",,https://www.truecar.com/used-cars-for-sale/listing/5FNRL38426B108735/2006-honda-odyssey/,5FNRL38426B108735,2006
,,Desert Mist Metallic,,,"Waukesha, WI",Honda,"247,191",Accord,EX-L,,2006 Honda Accord,"$5,786",,https://www.truecar.com/used-cars-for-sale/listing/1HGCM568X6A172410/2006-honda-accord/,1HGCM568X6A172410,2006
,,Liquid Platinum Metallic,,Sand,"Milwaukee, WI",Mazda,"112,873",CX-9,Grand Touring,,2007 Mazda CX-9,"$8,777",,https://www.truecar.com/used-cars-for-sale/listing/JM3TB38Y770119765/2007-mazda-cx-9/,JM3TB38Y770119765,2007
,,Ingot Silver,,Black,"Milwaukee, WI",Mazda,"73,065",Mazda6,I Sport,,2012 Mazda Mazda6,"$8,995",,https://www.truecar.com/used-cars-for-sale/listing/1YVHZ8BH7C5M01282/2012-mazda-mazda6/,1YVHZ8BH7C5M01282,2012
,,Indigo Lights Mica,,Black,"Milwaukee, WI",Mazda,"70,026",Mazda3,I Grand Touring,,2013 Mazda Mazda3,"$9,444",,https://www.truecar.com/used-cars-for-sale/listing/JM1BL1W73D1807297/2013-mazda-mazda3/,JM1BL1W73D1807297,2013
,,Red,,Black,"MADISON, WI",Honda,"71,295",Accord,EX,,2008 Honda Accord,"$9,777",,https://www.truecar.com/used-cars-for-sale/listing/1HGCP36728A011510/2008-honda-accord/,1HGCP36728A011510,2008
,,Black,,,"Madison, WI",Honda,"51,398",CR-Z,EX,,2012 Honda CR-Z,"$9,995",,https://www.truecar.com/used-cars-for-sale/listing/JHMZF1D6XCS000346/2012-honda-cr-z/,JHMZF1D6XCS000346,2012
,,Silver,,,"Janesville, WI",Toyota,"146,493",Camry,LE,,2002 Toyota Camry,"$5,978",,https://www.truecar.com/used-cars-for-sale/listing/4T1BE32K92U568586/2002-toyota-camry/,4T1BE32K92U568586,2002
,,Black,,Stone,"Delavan, WI",Toyota,"174,283",4Runner,SR5,,2004 Toyota 4Runner,"$10,484",,https://www.truecar.com/used-cars-for-sale/listing/JTEBT14RX48009175/2004-toyota-4runner/,JTEBT14RX48009175,2004
,,Gold,,Beige,"Madison, WI",Toyota,"236,017",Corolla,4dr Sedan CE Auto,,2003 Toyota Corolla,"$2,500",,https://www.truecar.com/used-cars-for-sale/listing/1NXBR38E23Z018346/2003-toyota-corolla/,1NXBR38E23Z018346,2003
,,Lunar Mist Metallic,,Dark Charcoal,"Madison, WI",Toyota,"152,009",Camry,4dr Sedan XLE Auto,,2004 Toyota Camry,"$4,695",,https://www.truecar.com/used-cars-for-sale/listing/4T1BE30KX4U917941/2004-toyota-camry/,4T1BE30KX4U917941,2004
,,Tuscan Sun Metallic,,Charcoal,"Madison, WI",Nissan,"149,115",Altima,2.5 S,,2011 Nissan Altima,"$6,995",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL2APXBN445456/2011-nissan-altima/,1N4AL2APXBN445456,2011
,,Black,,Charcoal,"Belleville, WI",Nissan,"109,320",Altima,2.5 S,,2010 Nissan Altima,"$7,159",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL2EP1AC143316/2010-nissan-altima/,1N4AL2EP1AC143316,2010
,,Green,,Gray,"Sturtevant, WI",Nissan,"112,772",Altima,2.5 S,,2007 Nissan Altima,"$6,344",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL21EX7N495439/2007-nissan-altima/,1N4AL21EX7N495439,2007
,,Red,,Gray,"West Allis, WI",Nissan,"93,935",Sentra,2.0 S,,2010 Nissan Sentra,"$6,477",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB6AP5AL711617/2010-nissan-sentra/,3N1AB6AP5AL711617,2010
,,Red,,Tan,"Madison, WI",Lexus,"194,011",GS,GS 461,,1998 Lexus GS,"$3,999",,https://www.truecar.com/used-cars-for-sale/listing/JT8BD68S6W0010366/1998-lexus-gs/,JT8BD68S6W0010366,1998
,,Red,,,"Brookfield, WI",Toyota,"199,368",Highlander,Base,,2004 Toyota Highlander,"$3,995",,https://www.truecar.com/used-cars-for-sale/listing/JTEGP21A540008593/2004-toyota-highlander/,JTEGP21A540008593,2004
,,Silver,,Stone,"Milwaukee, WI",Toyota,"125,043",Camry,LE,,2003 Toyota Camry,"$4,487",,https://www.truecar.com/used-cars-for-sale/listing/4T1BE32K53U147367/2003-toyota-camry/,4T1BE32K53U147367,2003
,,Silver,,Stone,"Milwaukee, WI",Toyota,"182,795",Sienna,XLE,,2006 Toyota Sienna,"$4,667",,https://www.truecar.com/used-cars-for-sale/listing/5TDZA22C76S404989/2006-toyota-sienna/,5TDZA22C76S404989,2006
,,Crystal Black Pearl,,Ebony,"Brookfield, WI",Acura,"67,553",TL,with Technology Package,,2013 Acura TL,"$17,900",,https://www.truecar.com/used-cars-for-sale/listing/19UUA8F52DA009235/2013-acura-tl/,19UUA8F52DA009235,2013
,,Silver Moon Metallic,,,"Waukesha, WI",Acura,"39,379",ILX,5-Speed Automatic,,2015 Acura ILX,"$18,786",,https://www.truecar.com/used-cars-for-sale/listing/19VDE1F30FE008005/2015-acura-ilx/,19VDE1F30FE008005,2015
,,Amber Brownstone,,Parchment,"Waukesha, WI",Acura,"72,399",RDX,AWD with Technology Package,,2013 Acura RDX,"$18,840",,https://www.truecar.com/used-cars-for-sale/listing/5J8TB4H54DL021373/2013-acura-rdx/,5J8TB4H54DL021373,2013
,,Satin Silver Metallic,,,"Waukesha, WI",Honda,"216,272",Accord,DX,,2005 Honda Accord,"$5,786",,https://www.truecar.com/used-cars-for-sale/listing/1HGCM56135A112745/2005-honda-accord/,1HGCM56135A112745,2005
,,Blue Pearl,,,"Waukesha, WI",Honda,"162,515",Civic,LX,,2004 Honda Civic,"$5,786",,https://www.truecar.com/used-cars-for-sale/listing/2HGES15574H512867/2004-honda-civic/,2HGES15574H512867,2004
,,Gunmetal Blue Mica,,Black W/Cloth Seat Trim,"Franklin, WI",Mazda,"67,225",Mazda3,Grand Touring,,2011 Mazda Mazda3,"$9,640",,https://www.truecar.com/used-cars-for-sale/listing/JM1BL1K52B1424260/2011-mazda-mazda3/,JM1BL1K52B1424260,2011
,,Liquid Silver Metallic,,,"Waukesha, WI",Mazda,"64,417",Mazda3,I Sport,,2012 Mazda Mazda3,"$9,888",,https://www.truecar.com/used-cars-for-sale/listing/JM1BL1UG7C1552090/2012-mazda-mazda3/,JM1BL1UG7C1552090,2012
,,White,,Beige,"Madison, WI",Honda,"85,304",Civic,LX,,2012 Honda Civic,"$9,999",,https://www.truecar.com/used-cars-for-sale/listing/19XFB2F57CE025007/2012-honda-civic/,19XFB2F57CE025007,2012
,,Black,,Black,"Madison, WI",Honda,"85,976",Civic,LX,,2013 Honda Civic,"$9,999",,https://www.truecar.com/used-cars-for-sale/listing/2HGFG3B57DH511370/2013-honda-civic/,2HGFG3B57DH511370,2013
,,Millennium Silver Metallic,,,"Milwaukee, WI",Lexus,"168,356",ES,ES 350,,2002 Lexus ES,"$1,999",,https://www.truecar.com/used-cars-for-sale/listing/JTHBF30G520010224/2002-lexus-es/,JTHBF30G520010224,2002
,,Black,,Gray,"Janesville, WI",Hyundai,"52,528",Veloster,RE:MIX Automatic,,2013 Hyundai Veloster,"$10,489",,https://www.truecar.com/used-cars-for-sale/listing/KMHTC6AD8DU139294/2013-hyundai-veloster/,KMHTC6AD8DU139294,2013
,,White,,,"Janesville, WI",Toyota,"101,158",Avalon,XLS,,2010 Toyota Avalon,"$10,699",,https://www.truecar.com/used-cars-for-sale/listing/4T1BK3DB0AU355577/2010-toyota-avalon/,4T1BK3DB0AU355577,2010
,,Silver,,,"Janesville, WI",Toyota,"38,713",Corolla,L,,2014 Toyota Corolla,"$11,995",,https://www.truecar.com/used-cars-for-sale/listing/5YFBURHE4EP155472/2014-toyota-corolla/,5YFBURHE4EP155472,2014
,,Silver,,Dark Gray,"Janesville, WI",Toyota,"97,963",Prius,Three,,2013 Toyota Prius v,"$12,342",,https://www.truecar.com/used-cars-for-sale/listing/JTDZN3EU5D3219675/2013-toyota-prius-v/,JTDZN3EU5D3219675,2013
,,Blue,,Gray,"Madison, WI",Toyota,"158,528",Corolla,4dr Sedan Manual CE,,2007 Toyota Corolla,"$4,999",,https://www.truecar.com/used-cars-for-sale/listing/1NXBR32E77Z851428/2007-toyota-corolla/,1NXBR32E77Z851428,2007
,,Desert Sand Mica,,Ash,"MADISON, WI",Toyota,"144,775",Corolla,4dr Sedan Auto,,2009 Toyota Corolla,"$5,477",,https://www.truecar.com/used-cars-for-sale/listing/1NXBU40EX9Z151591/2009-toyota-corolla/,1NXBU40EX9Z151591,2009
,,Super Black,,Charcoal,"Madison, WI",Nissan,"85,338",Sentra,2.0 SR,,2012 Nissan Sentra,"$7,495",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB6AP6CL753734/2012-nissan-sentra/,3N1AB6AP6CL753734,2012
,,Brilliant Silver Metallic,,Charcoal,"Madison, WI",Nissan,"80,493",Sentra,2.0,,2011 Nissan Sentra,"$7,495",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB6AP9BL621758/2011-nissan-sentra/,3N1AB6AP9BL621758,2011
,,Red Alert,,Charcoal,"Milwaukee, WI",Nissan,"37,195",Versa,4dr Sedan I4 Automatic 1.8 S,,2010 Nissan Versa,"$6,490",,https://www.truecar.com/used-cars-for-sale/listing/3N1BC1CP6AL394965/2010-nissan-versa/,3N1BC1CP6AL394965,2010
,,Magnetic Gray,,Gray,"Milwaukee, WI",Nissan,"80,798",Versa,1.8 S,,2009 Nissan Versa,"$6,498",,https://www.truecar.com/used-cars-for-sale/listing/3N1BC13E79L422136/2009-nissan-versa/,3N1BC13E79L422136,2009
,,White,,Tan,"Madison, WI",Lexus,"153,245",ES,ES 350,,1999 Lexus ES,"$4,500",,https://www.truecar.com/used-cars-for-sale/listing/JT8BF28G9X0210996/1999-lexus-es/,JT8BF28G9X0210996,1999
,,Black,,Beige,"Madison, WI",Lexus,"157,964",ES,ES 350,,2002 Lexus ES,"$4,999",,https://www.truecar.com/used-cars-for-sale/listing/JTHBF30G225031339/2002-lexus-es/,JTHBF30G225031339,2002
,,Tungsten Metallic,,Cashmere,"Madison, WI",Lexus,"119,199",ES,ES 350,,2007 Lexus ES,"$9,789",,https://www.truecar.com/used-cars-for-sale/listing/JTHBJ46G172098101/2007-lexus-es/,JTHBJ46G172098101,2007
,,Black Sand Pearl,,Dark Charcoal,"Glendale, WI",Toyota,"116,645",Yaris,Base,,2007 Toyota Yaris,"$4,937",,https://www.truecar.com/used-cars-for-sale/listing/JTDBT923071096244/2007-toyota-yaris/,JTDBT923071096244,2007
,,Green,,Gray,"Sturtevant, WI",Toyota,"131,391",Corolla,LE,,2004 Toyota Corolla,"$4,944",,https://www.truecar.com/used-cars-for-sale/listing/1NXBR32EX4Z281291/2004-toyota-corolla/,1NXBR32EX4Z281291,2004
,,Barcelona Red Metallic,,Ash,"Mt Pleasant, WI",Toyota,"148,913",Camry,LE,,2007 Toyota Camry,"$4,990",,https://www.truecar.com/used-cars-for-sale/listing/4T1BE46K87U006654/2007-toyota-camry/,4T1BE46K87U006654,2007
,,Gray,,,"Milwaukee, WI",Acura,"66,395",RDX,AWD,,2013 Acura RDX,"$19,444",,https://www.truecar.com/used-cars-for-sale/listing/5J8TB4H36DL011054/2013-acura-rdx/,5J8TB4H36DL011054,2013
,,Crystal Black Pearl,,Seacoast,"Brookfield, WI",Acura,"71,289",RLX,with Technology Package,,2014 Acura RLX,"$19,900",,https://www.truecar.com/used-cars-for-sale/listing/JH4KC1F52EC000210/2014-acura-rlx/,JH4KC1F52EC000210,2014
,,Graphite Luster Metallic,,Ebony,"Brookfield, WI",Acura,"29,794",ILX,Automatic,,2016 Acura ILX,"$20,000",,https://www.truecar.com/used-cars-for-sale/listing/19UDE2F31GA002877/2016-acura-ilx/,19UDE2F31GA002877,2016
,,Nighthawk Black Pearl,,,"Waukesha, WI",Honda,"126,485",Accord,LX,,2003 Honda Accord,"$5,786",,https://www.truecar.com/used-cars-for-sale/listing/1HGCM55393A081324/2003-honda-accord/,1HGCM55393A081324,2003
,,Blue,,Gray,"Sturtevant, WI",Honda,"123,615",Civic,EX,,2005 Honda Civic,"$5,844",,https://www.truecar.com/used-cars-for-sale/listing/2HGES26875H559848/2005-honda-civic/,2HGES26875H559848,2005
,,Alabaster Silver Metallic,,,"Waukesha, WI",Honda,"119,267",Civic,LX,,2006 Honda Civic,"$5,888",,https://www.truecar.com/used-cars-for-sale/listing/1HGFA16526L116017/2006-honda-civic/,1HGFA16526L116017,2006
,,Liquid Silver Metallic - Silver,,Black Cloth,"Milwaukee, WI",Mazda,"55,634",Mazda2,Sport,,2014 Mazda Mazda2,"$9,900",,https://www.truecar.com/used-cars-for-sale/listing/JM1DE1KY0E0184147/2014-mazda-mazda2/,JM1DE1KY0E0184147,2014
,,White,,Ivory,"Milwaukee, WI",Lexus,"180,216",LS,LS 460,,2002 Lexus LS,"$4,777",,https://www.truecar.com/used-cars-for-sale/listing/JTHBN30F020074701/2002-lexus-ls/,JTHBN30F020074701,2002
,,Champagne,,Tan,"West Allis, WI",Lexus,"95,729",ES,ES 350,,2003 Lexus ES,"$6,877",,https://www.truecar.com/used-cars-for-sale/listing/JTHBF30G236007327/2003-lexus-es/,JTHBF30G236007327,2003
,,Lakeside Blue,,Gray W/Premium Cloth Seat Trim,"JANESVILLE, WI",Hyundai,"47,924",Elantra,SE Automatic,,2016 Hyundai Elantra,"$11,900",,https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE2GH786926/2016-hyundai-elantra/,5NPDH4AE2GH786926,2016
,,Shale Gray Metallic,,Gray W/Premium Cloth Seat Trim,"JANESVILLE, WI",Hyundai,"45,915",Elantra,SE Automatic,,2016 Hyundai Elantra,"$12,000",,https://www.truecar.com/used-cars-for-sale/listing/5NPDH4AE3GH772758/2016-hyundai-elantra/,5NPDH4AE3GH772758,2016
,,Gray,,,"Janesville, WI",Hyundai,"33,715",Sonata,GLS,,2014 Hyundai Sonata,"$12,499",,https://www.truecar.com/used-cars-for-sale/listing/5NPEB4AC1EH936199/2014-hyundai-sonata/,5NPEB4AC1EH936199,2014
,,Gray,,,"Janesville, WI",Toyota,"115,265",Sienna,SE,,2012 Toyota Sienna,"$13,995",,https://www.truecar.com/used-cars-for-sale/listing/5TDXK3DC9CS278217/2012-toyota-sienna/,5TDXK3DC9CS278217,2012
,,Blue,,Gray,"Cambridge, WI",Toyota,"156,480",Tacoma,Base,,2006 Toyota Tacoma,"$13,995",,https://www.truecar.com/used-cars-for-sale/listing/5TEUU42N96Z305186/2006-toyota-tacoma/,5TEUU42N96Z305186,2006
,,Gray,,Ash,"Janesville, WI",Toyota,"15,787",Corolla,LE,,2015 Toyota Corolla,"$14,499",,https://www.truecar.com/used-cars-for-sale/listing/2T1BURHE4FC388737/2015-toyota-corolla/,2T1BURHE4FC388737,2015
,,Maroon,,Black,"Madison, WI",Toyota,"160,836",Avalon,4dr Sedan Touring,,2007 Toyota Avalon,"$6,500",,https://www.truecar.com/used-cars-for-sale/listing/4T1BK36B77U221459/2007-toyota-avalon/,4T1BK36B77U221459,2007
,,Sonora Gold Pearl,,Ivory,"Madison, WI",Toyota,"149,886",Highlander,4dr V6,,2006 Toyota Highlander,"$6,999",,https://www.truecar.com/used-cars-for-sale/listing/JTEGP21A560123780/2006-toyota-highlander/,JTEGP21A560123780,2006
,,Black,,,"Janesville, WI",Kia,"40,450",Optima,LX,,2015 Kia Optima,"$13,699",,https://www.truecar.com/used-cars-for-sale/listing/5XXGM4A74FG389710/2015-kia-optima/,5XXGM4A74FG389710,2015
,,White Pearl,,Black,"Madison, WI",Nissan,"127,742",Juke,SV,,2011 Nissan Juke,"$7,495",,https://www.truecar.com/used-cars-for-sale/listing/JN8AF5MV2BT016051/2011-nissan-juke/,JN8AF5MV2BT016051,2011
,,Magnetic Gray,,Beige,"Madison, WI",Nissan,"83,335",Versa,1.8 S,,2011 Nissan Versa,"$7,990",,https://www.truecar.com/used-cars-for-sale/listing/3N1BC1CP4BL446529/2011-nissan-versa/,3N1BC1CP4BL446529,2011
,,Black,,Charcoal,"Madison, WI",Nissan,"51,752",Altima,2.5 S,,2009 Nissan Altima,"$8,500",,https://www.truecar.com/used-cars-for-sale/listing/1N4AL21E99N492230/2009-nissan-altima/,1N4AL21E99N492230,2009
,,Silver,,Gray,"Madison, WI",Hyundai,"108,745",Elantra,4dr Sedan GLS Manual,,2002 Hyundai Elantra,"$3,500",,https://www.truecar.com/used-cars-for-sale/listing/KMHDN45D12U316844/2002-hyundai-elantra/,KMHDN45D12U316844,2002
,,Super Black,,,"Milwaukee, WI",Nissan,"126,000",Murano,SL,,2006 Nissan Murano,"$6,500",,https://www.truecar.com/used-cars-for-sale/listing/JN8AZ08W46W529500/2006-nissan-murano/,JN8AZ08W46W529500,2006
,,Chardonnay Pearly Metallic,,,"Waukesha, WI",Nissan,"104,768",Murano,SL,,2007 Nissan Murano,"$6,786",,https://www.truecar.com/used-cars-for-sale/listing/JN8AZ08W37W637785/2007-nissan-murano/,JN8AZ08W37W637785,2007
,,Blue,,Charcoal Cloth,"Milwaukee, WI",Nissan,"107,868",Sentra,SL,,2010 Nissan Sentra,"$6,900",,https://www.truecar.com/used-cars-for-sale/listing/3N1AB6AP8AL691203/2010-nissan-sentra/,3N1AB6AP8AL691203,2010
